Time:1x17:512,End Time,Electrode:0.000000,Electrode:16.000000,Electrode:32.000000,Electrode:48.000000,Electrode:64.000000,Electrode:80.000000,Electrode:96.000000,Electrode:112.000000,Electrode:128.000000,Electrode:144.000000,Electrode:160.000000,Electrode:176.000000,Electrode:192.000000,Electrode:208.000000,Electrode:224.000000,Electrode:240.000000,Electrode:256.000000,Event Id,Event Date,Event Duration
4.3125000000,4.3750000000,62.0000000000,933.5003831751,1312.8400418554,866.8069833273,487.6127348817,374.7297307768,648.3495229810,542.4589633042,670.8353002042,200.2841258869,148.4871994514,172.2567237179,113.7797028525,71.9547794263,52.7396639222,76.8829632578,40.0000000000,,,
4.3750000000,4.4375000000,297.0000000000,818.9887057986,430.4876581989,638.8070894301,967.4670230425,356.1332263830,230.1388540906,899.4543275772,663.5495460024,302.4464747616,150.8360538266,80.4970182680,146.2995534008,148.2745979731,122.4947706735,148.1723438673,85.0000000000,,,
4.4375000000,4.5000000000,1456.0000000000,830.4943615127,674.0328953091,699.8706316402,834.4491944590,620.2487141914,533.9768688484,1111.4314091537,580.5996899758,145.0017805015,99.7708675205,109.3322226375,28.3996807501,44.9599922211,35.3572279784,22.6167547998,16.0000000000,,,
4.5000000000,4.5625000000,2260.0000000000,1937.4557778314,715.0036418005,170.0246191580,378.9671671270,193.3528492242,477.7439427870,857.6571181778,553.6099710085,205.8992522443,92.4360411401,87.5596353785,36.7680056538,14.7735131733,19.6493165459,26.6126407884,2.0000000000,,,
4.5625000000,4.6250000000,3455.0000000000,701.0705298890,875.6036547348,1198.4557317934,500.1828105755,559.5736790389,272.9795019681,805.6248181088,605.2387958484,177.2772037477,195.3398171601,117.3583267574,57.1065320680,34.2855746148,32.1681076876,35.9198659834,27.0000000000,,,
4.6250000000,4.6875000000,3774.0000000000,1549.5741056828,982.0096617059,256.4538356969,396.0899345635,705.7641217351,567.8300105772,910.2683965762,696.1609009417,195.3375472640,47.3870480191,50.8362780177,38.7912842978,54.9109746766,55.4668467113,62.5753317692,34.0000000000,,,
4.6875000000,4.7500000000,3231.0000000000,2262.7492031707,2292.3222296425,991.3622885476,1515.1092937393,667.6645355559,663.1069920860,1137.6358089321,305.9967320087,253.0310201521,195.0667236438,251.1128774587,175.7265717667,193.7555887892,194.5273396212,212.0190746622,143.0000000000,,,
4.7500000000,4.8125000000,3312.0000000000,362.3125410973,295.3155669651,403.6405359138,290.6405270605,588.2279199327,360.3447155815,705.8137831930,668.0119759406,259.8374913933,216.6839631097,160.0555727941,108.3332083436,90.2935414467,99.7018655376,111.0519070269,76.0000000000,,,
4.8125000000,4.8750000000,5530.0000000000,428.8261246954,996.4496880402,800.6660484758,469.6133393189,298.7864602546,155.1957702670,654.9780960946,804.3581291937,298.5619649838,198.1431659071,134.3628436625,120.6619721940,112.8551820926,103.1386343726,71.1861333722,58.0000000000,,,
4.8750000000,4.9375000000,4557.0000000000,777.0883409814,608.2827737173,366.6942444762,665.2771345901,602.3146578684,438.3270498955,694.8573764986,711.3719139803,162.8395509488,131.7490280213,58.1145452609,102.9676366225,86.5261666656,74.8308635800,75.0901017379,41.0000000000,,,
4.9375000000,5.0000000000,5185.0000000000,1197.4640581894,339.9034492389,158.4354999450,713.6403097734,587.1838135177,404.1734685305,1043.5328591569,574.1933472272,252.1691561031,54.2545289561,79.1974565115,46.3196315454,51.5127828819,22.5809348629,21.4773251733,17.0000000000,,,
5.0000000000,5.0625000000,4687.0000000000,1424.7179654461,593.1772313960,559.1513569747,554.4017787410,357.3531259784,318.9961222919,700.8768094609,738.4212889672,297.9935623432,153.4946232491,199.7959862430,75.2241166700,77.7928387259,75.7736547206,82.5868946495,59.0000000000,,,
5.0625000000,5.1250000000,4544.0000000000,886.6167123285,545.0370825477,1031.3508957751,1125.2465694437,520.7656869003,270.8262318686,1007.7966649042,677.4924353821,342.8091068026,123.8930188917,203.5360894235,133.7017500077,139.8997209375,139.7649836321,116.8681369566,90.0000000000,,,
